datetime,tempmax,tempmin,temp,humidity,precip,windspeed,solarradiation
2010-10-30,19.2,10.0,14.2,84.0,10.0,21.4,106.5
2010-10-31,18.3,11.0,14.4,84.6,0.7,28.9,204.1
2010-11-01,18.2,10.0,13.9,83.2,1.3,17.9,136.3
2010-11-02,19.1,10.0,14.3,81.1,4.4,12.6,191.0
2010-11-03,19.3,9.0,14.5,82.8,1.2,24.3,145.1
2010-11-04,25.0,11.0,15.2,83.5,2.1,22.3,110.1
2010-11-05,20.3,7.9,13.9,83.0,11.5,22.1,143.7
2010-11-06,17.3,12.0,14.0,84.7,19.1,13.9,155.8
2010-11-07,18.1,11.9,14.0,85.2,4.2,20.5,83.9
2010-11-08,18.0,12.0,14.0,84.4,5.8,24.1,170.2
2010-11-09,19.0,11.0,13.8,87.2,26.6,24.4,167.6
2010-11-10,16.5,11.0,13.5,86.1,17.9,13.0,135.8
2010-11-11,17.3,10.0,13.1,88.4,8.3,17.8,178.0
2010-11-12,17.3,9.9,12.9,87.8,4.0,16.9,223.9
2010-11-13,28.0,10.0,13.9,86.3,5.3,18.2,149.8
2010-11-14,18.4,10.8,13.5,86.2,4.4,20.1,170.6
2010-11-15,18.2,10.8,13.3,85.8,3.7,17.7,109.5
2010-11-16,19.3,11.5,13.6,87.8,12.1,25.4,103.5
2010-11-17,17.0,10.0,12.8,89.3,4.2,17.9,120.1
2010-11-18,17.3,9.9,12.8,88.6,2.3,20.5,130.9
2010-11-19,18.3,10.0,13.4,85.9,5.1,23.7,193.4
2010-11-20,19.2,10.0,13.3,89.4,9.9,18.4,156.6
2010-11-21,19.5,8.9,13.3,86.2,2.7,21.6,122.5
2010-11-22,20.0,8.0,13.3,87.1,4.6,22.3,211.3
2010-11-23,19.3,11.0,14.2,84.1,5.7,25.4,132.1
2010-11-24,18.3,9.0,13.3,87.2,4.0,14.5,204.5
2010-11-25,19.4,10.7,14.2,84.4,1.6,18.0,195.7
2010-11-26,26.0,8.9,14.0,85.8,7.4,22.3,96.5
2010-11-27,19.0,10.2,13.0,89.6,12.1,24.9,158.9
2010-11-28,18.4,10.0,13.0,90.8,9.0,14.4,163.0
2010-11-29,20.4,11.0,14.4,85.1,1.3,21.7,204.5
2010-11-30,20.4,10.0,14.7,85.4,2.8,29.5,203.3
2010-12-01,19.3,11.0,13.9,85.5,6.3,18.0,141.9
2010-12-02,30.0,12.0,14.9,86.4,14.3,24.0,168.9
2010-12-03,18.0,11.8,14.0,86.0,10.2,21.7,80.6
2010-12-04,15.5,10.0,12.5,91.3,15.3,17.8,121.5
2010-12-05,19.3,8.0,12.9,79.7,2.6,25.0,237.5
2010-12-06,18.4,6.0,12.8,80.5,4.6,18.0,191.8
2010-12-07,19.2,10.0,14.0,82.0,5.9,14.6,209.8
2010-12-08,22.4,7.0,12.9,87.6,15.0,16.3,190.6
2010-12-09,20.4,8.0,14.2,78.5,3.5,16.9,174.2
