name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bogota,2013-09-19,18,10,14,18,9.6,14,7.7,67.4,2.6,100,41.67,rain,0,0,,61.2,140.9,1026.2,76.5,10.3,255.3,22.1,9,,2013-09-19T05:46:10,2013-09-19T17:53:39,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"80222099999,SKBO,80234099999"
Bogota,2013-09-20,20.1,9,13.9,20.1,7.9,13.8,6.7,66,0,0,0,,0,0,,29.2,137.1,1025.7,56.4,10.6,328.3,28.3,10,,2013-09-20T05:45:56,2013-09-20T17:53:10,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,remote"
Bogota,2013-09-21,23.3,4,13.9,23.3,2.1,13.7,7.5,70.3,0,0,0,,0,0,,17.9,85.5,1024.3,42.9,9.7,319.9,27.5,10,,2013-09-21T05:45:42,2013-09-21T17:52:41,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-22,21.3,5,14.6,21.3,3.9,14.5,8.2,68.5,0.7,100,29.17,rain,0,0,,36,123.3,1023.5,56,11,268.1,23,9,,2013-09-22T05:45:29,2013-09-22T17:52:13,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-23,19.4,11.3,15.9,19.4,11.3,15.9,8.2,61.2,0.1,100,4.17,rain,0,0,,33,113.8,1024.6,58,10.8,278.7,24.1,10,,2013-09-23T05:45:15,2013-09-23T17:51:44,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-24,19.5,9,14.6,19.5,7.6,14.4,7.6,65,0,0,0,,0,0,,32.5,123.5,1023.7,55,10.7,218.7,18.8,8,,2013-09-24T05:45:02,2013-09-24T17:51:16,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-25,19.4,10.1,15.6,19.4,10.1,15.6,8.6,64.2,0,0,0,,0,0,,28.8,123.5,1024.5,74,10.8,267,22.9,9,,2013-09-25T05:44:49,2013-09-25T17:50:47,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-26,21,11,14.4,21,11,14.4,9.7,75.9,1.1,100,45.83,rain,0,0,,19.9,29,1023.9,77.5,10.3,195.7,16.9,7,,2013-09-26T05:44:36,2013-09-26T17:50:19,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-27,19.3,10,14.7,19.3,9.1,14.7,9.2,71.5,19.8,100,70.83,rain,0,0,,26.9,93.9,1024.6,68.3,10.8,242.8,21.1,8,,2013-09-27T05:44:23,2013-09-27T17:49:51,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-28,21.3,10,14.9,21.3,9.1,14.8,9,70.4,13,100,100,rain,0,0,,18.1,47.8,1024.2,75.3,10.5,252,21.7,9,,2013-09-28T05:44:10,2013-09-28T17:49:23,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-29,20.2,11,14.9,20.2,11,14.9,8.2,65.8,2.7,100,41.67,rain,0,0,,27.1,89.8,1024.1,78.9,10.9,247.7,21.4,9,,2013-09-29T05:43:58,2013-09-29T17:48:56,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-09-30,20.4,9,14.8,20.4,7.9,14.8,8.4,69.2,0,0,0,,0,0,,18.4,85.2,1023.8,70.3,11,309.3,26.7,10,,2013-09-30T05:43:45,2013-09-30T17:48:29,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-01,20,6,12.8,20,4.4,12.5,9.3,81.7,10.2,100,70.83,rain,0,0,,28.7,306.4,1023.1,66,9.6,206,17.7,9,,2013-10-01T05:43:33,2013-10-01T17:48:02,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-02,19.3,9,13.9,19.3,7.6,13.6,9.4,76.9,0.1,100,4.17,rain,0,0,,28.9,91,1022.6,67.5,10.7,197.3,17,8,,2013-10-02T05:43:22,2013-10-02T17:47:35,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-03,19.3,8,13.9,19.3,6.4,13.5,8.8,73.6,15,100,70.83,rain,0,0,,28.2,110.4,1022.6,70.9,10.6,164.1,14.2,5,,2013-10-03T05:43:10,2013-10-03T17:47:09,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-04,18.1,9,13.3,18.1,7.6,13.1,9.4,78.6,3.5,100,66.67,rain,0,0,,28.6,99.5,1024.4,74.1,10.2,249.6,21.8,9,,2013-10-04T05:42:59,2013-10-04T17:46:43,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-05,20.3,7,13.8,20.3,5.2,13.5,7.4,68.2,0,0,0,,0,0,,28.9,104.3,1024.2,35.3,11,324,27.9,10,,2013-10-05T05:42:48,2013-10-05T17:46:18,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-06,20.3,5.9,13.4,20.3,3.3,12.9,5.7,63.5,2.4,100,45.83,rain,0,0,,28.8,108.3,1025.1,32.2,11.1,287.9,24.9,9,,2013-10-06T05:42:38,2013-10-06T17:45:52,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-07,18.4,7,13.2,18.4,6.2,13,7.9,72.3,2.2,100,70.83,rain,0,0,,21.7,75.2,1024.2,65.6,10.7,248.8,21.6,9,,2013-10-07T05:42:28,2013-10-07T17:45:28,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-08,18.3,10,14,18.3,8.8,14,8.4,70.1,0.3,100,12.5,rain,0,0,,25.2,103,1024.7,69.5,10.6,224.9,19.3,7,,2013-10-08T05:42:18,2013-10-08T17:45:03,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-09,18.4,4,12.9,18.4,2.8,12.8,7.1,71.2,0,0,0,,0,0,,28.8,98.3,1024.2,49.5,10.5,277.7,24,9,,2013-10-09T05:42:09,2013-10-09T17:44:40,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-10,20.1,8.8,14.1,20.1,7.9,14,9.4,75.6,3.3,100,70.83,rain,0,0,,25.2,12.5,1022.4,67.8,10.4,221.2,19,8,,2013-10-10T05:42:00,2013-10-10T17:44:16,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-11,19.3,9,14.2,19.3,9,14.2,10.9,81.7,8.9,100,79.17,rain,0,0,,22.3,286.1,1021.9,62.3,9.9,218.1,18.7,8,,2013-10-11T05:41:52,2013-10-11T17:43:53,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-12,19.3,10.3,14.7,19.3,10.3,14.7,10.5,77.5,15.2,100,87.5,rain,0,0,,20.1,279,1022.2,69.4,9.7,199.6,17.3,7,,2013-10-12T05:41:44,2013-10-12T17:43:31,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-13,19.3,11,14.8,19.3,11,14.8,10.7,78.7,9.6,100,100,rain,0,0,37.1,76.7,39,1021.8,77.5,9.5,195.5,16.9,8,,2013-10-13T05:41:36,2013-10-13T17:43:09,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-14,18.2,9,13.7,18.2,8.5,13.6,10,80.1,19.2,100,100,rain,0,0,,17.8,69.4,1022.6,65.2,9.6,171.8,14.8,7,,2013-10-14T05:41:30,2013-10-14T17:42:48,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-15,19.4,7,13.1,19.4,5.6,12.9,8.3,75,18.5,100,100,rain,0,0,,17.8,70.8,1023,63.6,11,249.1,21.5,9,,2013-10-15T05:41:23,2013-10-15T17:42:27,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-16,18,8,12.3,18,7.9,12.2,9.8,85.9,14.1,100,100,rain,0,0,,21.6,304.1,1024.5,77.8,9,197.5,17,8,,2013-10-16T05:41:17,2013-10-16T17:42:07,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-17,19.3,9.9,13.9,19.3,8.4,13.7,8.3,72.1,0.9,100,37.5,rain,0,0,,28.7,137.4,1024.6,68.5,10.4,197.2,16.9,7,,2013-10-17T05:41:12,2013-10-17T17:41:48,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-18,20.3,6,13.2,20.3,6,13.2,8.4,74.9,0.5,100,20.83,rain,0,0,,25.3,324.1,1023.1,54.7,10.7,276.4,23.9,10,,2013-10-18T05:41:07,2013-10-18T17:41:29,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-19,22.2,5,14,22.2,5,13.9,8.3,76.7,0.4,100,16.67,rain,0,0,,20.6,102.7,1023.3,55.1,11,294.6,25.5,10,,2013-10-19T05:41:03,2013-10-19T17:41:11,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-20,20.1,4,12.9,20.1,2.1,12.8,9,81.3,1.9,100,70.83,rain,0,0,,17.8,309.1,1022.5,54.7,9.2,189.5,16.4,7,,2013-10-20T05:41:00,2013-10-20T17:40:54,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-21,20.3,8,14.4,20.3,2.9,14.1,8.9,73.1,6.9,100,100,rain,0,0,,59.8,72.4,1022.6,63.5,10.6,184.2,16,7,,2013-10-21T05:40:57,2013-10-21T17:40:37,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-22,20.1,11,14.5,20.1,11,14.5,10.7,78.9,1.1,100,29.17,rain,0,0,,25.2,35.6,1022.1,63.3,10.6,227.6,19.7,9,,2013-10-22T05:40:54,2013-10-22T17:40:21,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-23,19.3,7,13.2,19.3,7,13.1,10.4,85.1,4.6,100,54.17,rain,0,0,,18.4,18,1022.5,64.1,10,260.8,22.4,10,,2013-10-23T05:40:53,2013-10-23T17:40:06,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-24,19.4,9.1,14.3,19.4,8.4,14.2,9.5,74.6,0.4,100,16.67,rain,0,0,,32.5,108.9,1023.2,58.6,11,236.8,20.6,9,,2013-10-24T05:40:52,2013-10-24T17:39:51,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-25,19.5,8,14,19.5,6.3,13.7,7.6,67.5,0,0,0,,0,0,,26.9,112.6,1023.7,55.5,11.1,306.8,26.4,10,,2013-10-25T05:40:52,2013-10-25T17:39:38,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-26,19.1,4,12.3,19.1,2.1,11.9,7.3,75.1,0,0,0,,0,0,,18.4,63.3,1024.1,55.6,10.8,294,25.5,10,,2013-10-26T05:40:52,2013-10-26T17:39:25,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-27,19.5,4.8,13,19.5,3.9,12.9,8.3,76.8,0.8,100,33.33,rain,0,0,,17.9,322.6,1023.3,49.5,10.5,298.6,25.9,10,,2013-10-27T05:40:53,2013-10-27T17:39:13,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-28,20.3,10,14.7,20.3,10,14.7,10.8,79.7,4.1,100,75,rain,0,0,,23.5,335.4,1022.8,72,9.2,248.8,21.4,9,,2013-10-28T05:40:55,2013-10-28T17:39:01,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-29,20.3,9.3,14.7,20.3,8.9,14.6,10.5,77.4,4.1,100,100,rain,0,0,,25.5,320.2,1022.3,54.5,9.6,133.3,11.6,6,,2013-10-29T05:40:57,2013-10-29T17:38:51,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-30,20.3,9,14.5,20.3,7.5,14.4,10.3,77.4,10.1,100,100,rain,0,0,,30.9,315.1,1022.5,62.3,10,174.4,15.1,8,,2013-10-30T05:41:01,2013-10-30T17:38:41,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-10-31,18.9,11,13.9,18.9,11,13.9,9.7,76.9,5.5,100,95.83,rain,0,0,,35.9,305,1021.5,61.6,10.8,82.1,7.2,3,,2013-10-31T05:41:04,2013-10-31T17:38:32,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-11-01,26.1,9,14.1,26.1,9,14.1,9,72.9,8.9,100,100,rain,0,0,,26.9,317,1021.6,67.9,10.8,167.8,14.6,6,,2013-11-01T05:41:09,2013-11-01T17:38:24,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-11-02,19.5,9.4,13.9,19.5,9,13.8,9.9,79,11.7,100,70.83,rain,0,0,,27,286.3,1022.3,72,10.5,156.8,13.7,7,,2013-11-02T05:41:15,2013-11-02T17:38:17,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-11-03,18.6,9,13.9,18.6,9,13.9,10.6,81.7,24.7,100,100,rain,0,0,,22.3,325.4,1023.1,78.4,9.8,146.1,12.6,6,,2013-11-03T05:41:21,2013-11-03T17:38:11,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-11-04,17.2,11.8,13,17.2,11.8,13,11.5,91.3,19,100,100,rain,0,0,,28.8,286.1,1023.9,86,7.2,91.2,7.8,3,,2013-11-04T05:41:28,2013-11-04T17:38:06,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-11-05,18.3,10,13.6,18.3,9.6,13.5,11,85.2,20.3,100,100,rain,0,0,,22.1,291.7,1021.9,81.2,7.5,183,15.8,7,,2013-11-05T05:41:36,2013-11-05T17:38:02,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
Bogota,2013-11-06,18.3,10.9,14.1,18.3,10.9,14.1,11.4,84.8,9.1,100,95.83,rain,0,0,,17.8,300.7,1021.9,77.4,8.2,171.1,14.9,7,,2013-11-06T05:41:44,2013-11-06T17:37:58,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"80222099999,SKBO,80234099999,SKVV"
